date,task_id,title,organo,piece_id,input_required,output_expected,done_definition,dependency,status,notes
2026-05-01,D08-ED-001,Normalizar brief P1_004,Editorial,P1_004,03_Editorial/P1_004_Brief.md + orden P1_003->P1_004,Brief P1_004 normalizado,Brief listo con supuestos y riesgos,revision_humana,READY,No activar antes de P1_003
2026-05-01,D08-OPS-001,Gate de entrada P1_004,Operaciones / QA,P1_004,Brief normalizado P1_004,Decision go/no-go P1_004,Decision registrada en documento operativo,revision_humana,READY,Sin plataforma
2026-05-02,D09-ED-001,Pasar MVP_04 de IDEA a BRIEF_READY,Editorial,MVP_04,swarm_mvp_tracker.json + linea editorial local,IdeaCard/brief MVP_04,Estado documental IDEA->BRIEF_READY,revision_humana,READY,Sin inventar hechos nuevos
2026-05-02,D09-DIS-001,Definir visual brief MVP_04,Diseno / visuales / ComfyUI,MVP_04,Brief MVP_04,Visual brief base MVP_04,Visual brief minimo definido,ComfyUI,READY,No generar publicacion
2026-05-02,D09-OPS-001,Gate QA continuidad MVP_04,Operaciones / QA,MVP_04,Brief + visual brief MVP_04,Gate QA con riesgos,Gate registrado y trazable,revision_humana,READY,Control de calidad
2026-05-03,D10-ED-001,Pasar MVP_05 de IDEA a BRIEF_READY,Editorial,MVP_05,swarm_mvp_tracker.json + linea editorial local,Brief MVP_05,Estado documental IDEA->BRIEF_READY,revision_humana,READY,Continuidad backlog
2026-05-03,D10-DIS-001,Definir visual brief MVP_05,Diseno / visuales / ComfyUI,MVP_05,Brief MVP_05,Visual brief MVP_05,Visual brief aprobado,ComfyUI,READY,Sin APIs
2026-05-04,D11-ED-001,Pasar MVP_06 de IDEA a BRIEF_READY,Editorial,MVP_06,swarm_mvp_tracker.json + linea editorial local,Brief MVP_06,Estado documental IDEA->BRIEF_READY,revision_humana,READY,Sin publicar
2026-05-04,D11-OPS-001,Gate QA claims/fuentes MVP_06,Operaciones / QA,MVP_06,Brief MVP_06,Gate QA de claims y fuentes,Gate con riesgos y accion,revision_humana,READY,Repo-first
2026-05-05,D12-ED-001,Pasar MVP_07 de IDEA a BRIEF_READY,Editorial,MVP_07,swarm_mvp_tracker.json + linea editorial local,Brief MVP_07,Estado documental IDEA->BRIEF_READY,revision_humana,READY,Sin inventar pieza
2026-05-05,D12-DIS-001,Definir visual brief MVP_07,Diseno / visuales / ComfyUI,MVP_07,Brief MVP_07,Visual brief MVP_07,Set visual minimo definido,ComfyUI,READY,Sin publicacion
2026-05-05,D12-WEB-001,Validar integridad web local Detroit,Website / Astro,Detroit,Fuente Detroit + QA D05/D06,Validacion rutas locales Detroit,Evidencia de validacion guardada,website,READY,Sin deploy
2026-05-06,D13-ED-001,Pasar MVP_08 de IDEA a BRIEF_READY,Editorial,MVP_08,swarm_mvp_tracker.json + linea editorial local,Brief MVP_08,Estado documental IDEA->BRIEF_READY,revision_humana,READY,Continuidad semana siguiente
2026-05-06,D13-OPS-001,Cierre semanal editorial operativo,Operaciones / QA,MVP_08,Brief MVP_08 + backlog D04-D13,Reporte cierre semanal y siguiente prioridad,Reporte con cierre riesgos y siguiente paso,revision_humana,READY,Sin Notion masivo
2026-04-27,BLK-EP001-001,Bloqueo EP_001 por activos faltantes,Editorial,EP_001,pipeline_tracker.json + PIECE_STATUS_MATRIX.md,Bloqueo documentado EP_001,Bloqueo registrado con condicion de desbloqueo,revision_humana,BLOCKED,Falta audio master y thumbnail
2026-04-27,BLK-EP002-001,Bloqueo EP_002 por activos faltantes,Editorial,EP_002,pipeline_tracker.json + PIECE_STATUS_MATRIX.md,Bloqueo documentado EP_002,Bloqueo registrado con condicion de desbloqueo,revision_humana,BLOCKED,Falta audio master y thumbnail
2026-04-27,BLK-P1002-001,Bloqueo P1_002 por drift de estado,Operaciones / QA,P1_002,PIECE_STATUS_MATRIX.md + pipeline_tracker.json,Incidencia de drift documentada,Drift marcado sin activar ejecucion,Notion|revision_humana,BLOCKED,Estado contradictorio COMPLETED vs APPROVAL_PENDING
