drive,path,category,status,evidence,reason,risk_level,recommended_action,dependency,notes
D:,D:\FrecuenciaGlobal\AV\BassAndBorders\D07_Thumbnails\Detroit,assets audiovisuales,DOCUMENTED_ONLY,scripts/d07_bb_thumbnails.py,Staging thumbnails Detroit,MEDIO,documentar seleccion final y rutas consumidas,Detroit,depende de curaduria humana
D:,D:\FrecuenciaGlobal\AV\BassAndBorders\D07_Thumbnails\Berghain,assets audiovisuales,DOCUMENTED_ONLY,scripts/d07_bb_thumbnails.py,Staging thumbnails Berghain,MEDIO,documentar seleccion final y rutas consumidas,BassAndBorders,depende de curaduria humana
D:,D:\FrecuenciaGlobal\ComfyUI,ComfyUI runtime,ACTIVE_VERIFIED_EXISTS,07_Operaciones/WINDSURF_DAY03_ARCHITECTURE_MAP.md; scripts/comfy_detroit_card.py; spot-check Test-Path,Runtime local ComfyUI y entorno,MEDIO,mantener como motor grafico local,ComfyUI,No migrar sin rehacer paths en scripts
D:,D:\FrecuenciaGlobal\ComfyUI\.venv\Scripts\python.exe,dependencias,ACTIVE_VERIFIED_EXISTS,07_Operaciones/SERENA_ENVIRONMENT_DIAGNOSTIC_20260425.md; spot-check Test-Path,Python dedicado del venv ComfyUI,MEDIO,BLOQUEAR/no editar manualmente,python_venv,Tocar venv puede romper generacion reproducible
D:,D:\FrecuenciaGlobal\ComfyUI\output,ComfyUI outputs,ACTIVE_VERIFIED_EXISTS,scripts/comfy_detroit_card.py; scripts/comfy_thumbnails_batch.py; spot-check Test-Path,Salida principal de renders ComfyUI,MEDIO,mantener; inventariar por pieza en D08,ComfyUI,Puede contener volumen alto; no inventory completo en D07
D:,D:\FrecuenciaGlobal\ComfyUI\output\exports\articles\techno_detroit\hero,ComfyUI outputs,DOCUMENTED_ONLY,04_Produccion/Detroit/visual_curation/DETROIT_D07_FINAL_ASSET_SELECTION_20260425.md,Export estructurado por articulo Detroit,ALTO,candidato a documentar seed y archivos seleccionados,Detroit,NO VERIFICADO EN FUENTE LOCAL lista de archivos sin inspeccion
D:,D:\FrecuenciaGlobal\ComfyUI\output\exports\articles\techno_detroit\thumb_vertical,ComfyUI outputs,DOCUMENTED_ONLY,04_Produccion/Detroit/visual_curation/DETROIT_D07_FINAL_ASSET_SELECTION_20260425.md,Export thumbnails verticales,ALTO,candidato a documentar seed y archivos seleccionados,Detroit,NO VERIFICADO EN FUENTE LOCAL lista de archivos sin inspeccion
D:,D:\ComfyUI\output,ComfyUI outputs,ACTIVE_VERIFIED_EXISTS,scripts/comfyui_dossier_bass_borders.py; spot-check Test-Path,Salida alternativa de instalacion ComfyUI en D:,MEDIO,documentar si sigue activa o es legado; evitar duplicar copias manualmente,ComfyUI,Riesgo de outputs duplicados vs D:\\FrecuenciaGlobal\\ComfyUI\\output
D:,D:\FrecuenciaGlobal\backups,backups,ACTIVE_VERIFIED_EXISTS,07_Operaciones/WINDSURF_DAILY_LOG.md; spot-check Test-Path,Backups declarados fuera del repo,MEDIO,BLOQUEAR/no reorganizar sin plan,backup_ops,Puede contener snapshots sensibles
D:,D:\FrecuenciaGlobal\BrowserProfiles,zona sensible,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Perfiles navegador dedicados,MUY_ALTO,BLOQUEAR/no copiar/no indexar,chrome,NO listar contenido en ops markdown
D:,D:\FrecuenciaGlobal\Security,zona sensible,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Archivo seguridad local,MUY_ALTO,BLOQUEAR,soc_ops,NO inspeccionar sin protocolo
D:,D:\FrecuenciaGlobal\Artifacts,assets audiovisuales,no clasificado,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Carpeta de artefactos en raiz D: FG,ALTO,candidato a documentar contenido y propiedad,none,NO VERIFICADO EN FUENTE LOCAL reglas de retencion
D:,D:\FrecuenciaGlobal\Design,assets audiovisuales,no clasificado,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Carpeta design en raiz D: FG,MEDIO,candidato a documentar pipeline vs 06_Assets,design_ops,NO VERIFICADO EN FUENTE LOCAL mapping a piezas
F:,F:\,no clasificado,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Unidad presente en sistema,BAJA,documentar proposito si FG usa F: para staging frio,windows_storage,Muy amplio; no enumerar recursivo
F:,F:\Frecuencia Global,no clasificado,ACTIVE_VERIFIED_EXISTS,spot-check Test-Path,Carpeta FG en unidad F:,MEDIO,candidato a documentar relacion con C:/D:,none,Spot-check contiene solo subcarpeta output
F:,F:\Frecuencia Global\output,no clasificado,ACTIVE_VERIFIED_EXISTS_EMPTYISH,spot-check Test-Path + Get-ChildItem depth 1,Carpeta output vacia en spot-check superficial,MEDIO,candidato a documentar si es staging/reserva fria,none,NO VERIFICADO EN FUENTE LOCAL documentacion explicita del proposito
